Data;Ora;PUN
2004-04-14;23;35,88
2004-04-14;24;34,19
2004-04-15;1;26,54
2004-04-15;2;20,99
2004-04-15;3;21,56
2004-04-15;4;21,56
2004-04-15;5;21,54
2004-04-15;6;25,95
2004-04-15;7;27,06
2004-04-15;8;27,71
2004-04-15;9;64,43
2004-04-15;10;64,52
2004-04-15;11;64,60
2004-04-15;12;64,72
2004-04-15;13;64,43
2004-04-15;14;64,38
2004-04-15;15;64,24
2004-04-15;16;64,24
2004-04-15;17;64,33
2004-04-15;18;64,38
2004-04-15;19;64,27
2004-04-15;20;64,44
2004-04-15;21;64,73
2004-04-15;22;49,21
2004-04-15;23;39,64
2004-04-15;24;35,99
2004-04-16;1;32,95
2004-04-16;2;33,87
2004-04-16;3;33,85
2004-04-16;4;33,65
2004-04-16;5;32,85
2004-04-16;6;32,94
2004-04-16;7;32,21
2004-04-16;8;36,15
2004-04-16;9;70,72
2004-04-16;10;70,73
2004-04-16;11;70,73
2004-04-16;12;70,71
2004-04-16;13;69,78
2004-04-16;14;70,28
2004-04-16;15;70,71
2004-04-16;16;70,24
2004-04-16;17;70,18
2004-04-16;18;70,06
2004-04-16;19;69,74
2004-04-16;20;70,11
2004-04-16;21;69,81
2004-04-16;22;47,73
2004-04-16;23;40,52
2004-04-16;24;42,46
2004-04-17;1;48,23
2004-04-17;2;35,02
2004-04-17;3;34,53
2004-04-17;4;32,94
2004-04-17;5;32,85
2004-04-17;6;32,94
2004-04-17;7;33,69
2004-04-17;8;36,48
2004-04-17;9;62,33
2004-04-17;10;62,40
2004-04-17;11;62,60
2004-04-17;12;62,43
2004-04-17;13;45,75
2004-04-17;14;41,23
2004-04-17;15;39,21
2004-04-17;16;37,17
2004-04-17;17;37,10
2004-04-17;18;37,03
2004-04-17;19;44,84
2004-04-17;20;46,61
2004-04-17;21;44,03
2004-04-17;22;29,68
2004-04-17;23;37,08
2004-04-17;24;34,40
2004-04-18;1;31,69
2004-04-18;2;31,27
2004-04-18;3;30,94
2004-04-18;4;30,85
2004-04-18;5;30,77
2004-04-18;6;30,74
2004-04-18;7;27,93
2004-04-18;8;26,50
2004-04-18;9;28,28
2004-04-18;10;28,33
2004-04-18;11;45,46
2004-04-18;12;79,05
2004-04-18;13;77,75
2004-04-18;14;77,93
2004-04-18;15;76,78
2004-04-18;16;35,49
2004-04-18;17;28,14
2004-04-18;18;27,94
2004-04-18;19;46,05
2004-04-18;20;81,29
2004-04-18;21;81,85
2004-04-18;22;71,26
2004-04-18;23;32,49
2004-04-18;24;33,05
2004-04-19;1;31,46
2004-04-19;2;28,79
2004-04-19;3;26,39
2004-04-19;4;26,01
2004-04-19;5;25,98
2004-04-19;6;28,24
2004-04-19;7;26,88
2004-04-19;8;33,85
2004-04-19;9;70,15
2004-04-19;10;69,75
2004-04-19;11;69,73
2004-04-19;12;69,73
2004-04-19;13;69,75
2004-04-19;14;70,14
2004-04-19;15;70,98
2004-04-19;16;70,21
2004-04-19;17;70,20
2004-04-19;18;69,95
2004-04-19;19;69,73
2004-04-19;20;69,73
2004-04-19;21;69,71
2004-04-19;22;47,94
2004-04-19;23;44,65
2004-04-19;24;45,20
2004-04-20;1;32,97
2004-04-20;2;32,28
2004-04-20;3;29,58
2004-04-20;4;29,51
2004-04-20;5;30,00
2004-04-20;6;32,31
2004-04-20;7;28,81
2004-04-20;8;24,61
2004-04-20;9;69,72
2004-04-20;10;69,48
2004-04-20;11;69,49
2004-04-20;12;69,68
2004-04-20;13;69,42
2004-04-20;14;66,80
2004-04-20;15;67,29
2004-04-20;16;69,80
2004-04-20;17;69,70
2004-04-20;18;67,25
2004-04-20;19;43,16
2004-04-20;20;62,83
2004-04-20;21;69,49
2004-04-20;22;41,32
2004-04-20;23;43,76
2004-04-20;24;43,56
2004-04-21;1;30,24
2004-04-21;2;30,69
2004-04-21;3;29,92
2004-04-21;4;28,25
2004-04-21;5;28,25
2004-04-21;6;29,92
2004-04-21;7;28,85
2004-04-21;8;66,47
2004-04-21;9;70,90
2004-04-21;10;70,13
2004-04-21;11;68,74
2004-04-21;12;70,13
2004-04-21;13;65,47
2004-04-21;14;65,55
2004-04-21;15;68,92
2004-04-21;16;70,14
2004-04-21;17;70,17
2004-04-21;18;70,19
2004-04-21;19;66,71
2004-04-21;20;66,60
2004-04-21;21;63,69
2004-04-21;22;60,13
2004-04-21;23;43,70
2004-04-21;24;47,26
2004-04-22;1;26,94
2004-04-22;2;29,86
2004-04-22;3;28,23
2004-04-22;4;27,71
2004-04-22;5;28,24
2004-04-22;6;27,80
2004-04-22;7;27,78
2004-04-22;8;61,45
2004-04-22;9;64,60
2004-04-22;10;70,87
2004-04-22;11;70,37
2004-04-22;12;70,20
2004-04-22;13;66,18
2004-04-22;14;66,18
2004-04-22;15;69,92
2004-04-22;16;69,70
2004-04-22;17;69,54
2004-04-22;18;69,67
2004-04-22;19;60,31
2004-04-22;20;60,73
2004-04-22;21;63,67
2004-04-22;22;50,66
2004-04-22;23;52,35
2004-04-22;24;52,31
2004-04-23;1;31,34
2004-04-23;2;26,81
2004-04-23;3;26,02
2004-04-23;4;26,01
2004-04-23;5;25,97
2004-04-23;6;26,01
2004-04-23;7;27,44
2004-04-23;8;61,48
2004-04-23;9;63,09
2004-04-23;10;69,89
2004-04-23;11;69,72
2004-04-23;12;69,71
2004-04-23;13;62,53
2004-04-23;14;64,57
2004-04-23;15;69,78
2004-04-23;16;69,82
2004-04-23;17;69,77
2004-04-23;18;69,82
2004-04-23;19;61,90
2004-04-23;20;60,01
2004-04-23;21;63,08
2004-04-23;22;51,75
2004-04-23;23;53,56
2004-04-23;24;51,08
2004-04-24;1;38,66
2004-04-24;2;33,11
2004-04-24;3;34,97
2004-04-24;4;32,34
2004-04-24;5;29,99
2004-04-24;6;29,98
2004-04-24;7;27,79
2004-04-24;8;32,65
2004-04-24;9;44,18
2004-04-24;10;44,02
2004-04-24;11;44,46
2004-04-24;12;42,76
2004-04-24;13;40,20
2004-04-24;14;33,24
2004-04-24;15;32,64
2004-04-24;16;33,09
2004-04-24;17;33,07
2004-04-24;18;32,88
2004-04-24;19;32,93
2004-04-24;20;32,55
2004-04-24;21;42,69
2004-04-24;22;31,75
2004-04-24;23;27,93
2004-04-24;24;31,79
2004-04-25;1;25,80
2004-04-25;2;24,81
2004-04-25;3;24,64
2004-04-25;4;24,73
2004-04-25;5;3,34
2004-04-25;6;3,38
2004-04-25;7;5,53
2004-04-25;8;5,59
2004-04-25;9;11,97
2004-04-25;10;33,79
2004-04-25;11;33,76
2004-04-25;12;33,69
2004-04-25;13;30,32
2004-04-25;14;30,29
2004-04-25;15;14,60
2004-04-25;16;14,79
2004-04-25;17;14,83
2004-04-25;18;11,70
2004-04-25;19;14,56
2004-04-25;20;20,72
2004-04-25;21;33,68
2004-04-25;22;27,32
2004-04-25;23;27,36
2004-04-25;24;26,80
2004-04-26;1;25,11
2004-04-26;2;24,74
2004-04-26;3;24,73
2004-04-26;4;24,73
2004-04-26;5;24,64
2004-04-26;6;24,88
2004-04-26;7;25,30
2004-04-26;8;60,68
2004-04-26;9;65,21
2004-04-26;10;72,24
2004-04-26;11;72,22
2004-04-26;12;72,01
2004-04-26;13;69,54
2004-04-26;14;69,71
2004-04-26;15;72,00
2004-04-26;16;70,51
2004-04-26;17;71,67
2004-04-26;18;70,46
2004-04-26;19;69,19
2004-04-26;20;67,85
2004-04-26;21;66,86
2004-04-26;22;47,13
2004-04-26;23;46,15
2004-04-26;24;45,05
2004-04-27;1;30,42
2004-04-27;2;30,50
2004-04-27;3;30,54
2004-04-27;4;26,05
2004-04-27;5;25,99
2004-04-27;6;25,82
2004-04-27;7;26,94
2004-04-27;8;62,94
2004-04-27;9;63,38
2004-04-27;10;71,21
2004-04-27;11;71,21
2004-04-27;12;71,39
2004-04-27;13;68,56
2004-04-27;14;69,23
2004-04-27;15;70,39
2004-04-27;16;71,52
2004-04-27;17;70,87
2004-04-27;18;70,83
2004-04-27;19;68,32
2004-04-27;20;68,27
2004-04-27;21;69,67
2004-04-27;22;48,23
2004-04-27;23;45,32
2004-04-27;24;44,59
2004-04-28;1;28,60
2004-04-28;2;29,17
2004-04-28;3;29,16
2004-04-28;4;29,11
2004-04-28;5;28,69
2004-04-28;6;29,17
2004-04-28;7;27,82
2004-04-28;8;62,42
2004-04-28;9;62,47
2004-04-28;10;70,28
2004-04-28;11;70,16
2004-04-28;12;69,92
2004-04-28;13;65,07
2004-04-28;14;63,99
2004-04-28;15;69,84
2004-04-28;16;69,92
2004-04-28;17;69,89
2004-04-28;18;65,41
2004-04-28;19;55,87
2004-04-28;20;54,35
2004-04-28;21;63,93
2004-04-28;22;43,77
2004-04-28;23;40,06
2004-04-28;24;40,22
2004-04-29;1;25,81
2004-04-29;2;25,89
2004-04-29;3;25,80
2004-04-29;4;25,93
2004-04-29;5;25,83
2004-04-29;6;25,92
2004-04-29;7;26,06
2004-04-29;8;63,43
2004-04-29;9;62,73
2004-04-29;10;70,01
2004-04-29;11;71,50
2004-04-29;12;70,05
2004-04-29;13;68,49
2004-04-29;14;68,21
2004-04-29;15;70,53
2004-04-29;16;70,57
2004-04-29;17;70,56
2004-04-29;18;70,05
2004-04-29;19;69,28
2004-04-29;20;68,05
2004-04-29;21;68,21
2004-04-29;22;49,77
2004-04-29;23;48,05
2004-04-29;24;48,23
2004-04-30;1;34,87
2004-04-30;2;34,38
2004-04-30;3;29,58
2004-04-30;4;29,20
2004-04-30;5;26,52
2004-04-30;6;28,56
2004-04-30;7;28,66
2004-04-30;8;63,56
2004-04-30;9;63,90
2004-04-30;10;70,49
2004-04-30;11;71,11
2004-04-30;12;71,11
2004-04-30;13;65,58
2004-04-30;14;63,85
2004-04-30;15;68,99
2004-04-30;16;69,11
2004-04-30;17;69,07
2004-04-30;18;69,20
2004-04-30;19;63,97
2004-04-30;20;62,43
2004-04-30;21;63,51
2004-04-30;22;45,61
2004-04-30;23;61,82
2004-04-30;24;61,74
2004-05-01;1;48,58
2004-05-01;2;48,40
2004-05-01;3;48,20
2004-05-01;4;48,00
2004-05-01;5;47,81
2004-05-01;6;38,29
2004-05-01;7;30,21
2004-05-01;8;32,53
2004-05-01;9;40,35
2004-05-01;10;31,32
2004-05-01;11;28,71
2004-05-01;12;28,66
2004-05-01;13;30,85
2004-05-01;14;34,41
2004-05-01;15;35,24
2004-05-01;16;42,11
2004-05-01;17;35,74
2004-05-01;18;28,97
2004-05-01;19;33,69
2004-05-01;20;41,94
2004-05-01;21;50,97
2004-05-01;22;51,00
2004-05-01;23;32,01
2004-05-01;24;37,24
2004-05-02;1;22,65
2004-05-02;2;28,32
2004-05-02;3;28,20
2004-05-02;4;31,52
2004-05-02;5;33,09
2004-05-02;6;32,67
2004-05-02;7;33,61
2004-05-02;8;45,68
2004-05-02;9;45,68
2004-05-02;10;48,43
2004-05-02;11;46,83
2004-05-02;12;48,93
2004-05-02;13;48,90
2004-05-02;14;48,14
2004-05-02;15;46,41
2004-05-02;16;46,39
2004-05-02;17;46,39
2004-05-02;18;46,39
2004-05-02;19;46,85
2004-05-02;20;47,52
2004-05-02;21;57,84
2004-05-02;22;57,78
2004-05-02;23;46,88
2004-05-02;24;46,48
2004-05-03;1;34,86
2004-05-03;2;34,39
2004-05-03;3;35,41
2004-05-03;4;33,46
2004-05-03;5;32,43
2004-05-03;6;31,35
2004-05-03;7;25,78
2004-05-03;8;62,30
2004-05-03;9;63,41
2004-05-03;10;66,94
2004-05-03;11;66,91
2004-05-03;12;66,91
2004-05-03;13;67,64
2004-05-03;14;67,73
2004-05-03;15;67,55
2004-05-03;16;68,17
2004-05-03;17;68,23
2004-05-03;18;68,16
2004-05-03;19;67,46
2004-05-03;20;66,89
2004-05-03;21;67,08
2004-05-03;22;67,01
2004-05-03;23;44,83
2004-05-03;24;45,05
2004-05-04;1;24,66
2004-05-04;2;24,56
2004-05-04;3;24,48
2004-05-04;4;24,48
2004-05-04;5;24,51
2004-05-04;6;24,57
2004-05-04;7;25,47
2004-05-04;8;62,62
2004-05-04;9;63,11
2004-05-04;10;68,19
2004-05-04;11;68,21
2004-05-04;12;68,16
2004-05-04;13;68,16
2004-05-04;14;68,19
2004-05-04;15;68,17
2004-05-04;16;68,25
2004-05-04;17;68,18
2004-05-04;18;68,15
2004-05-04;19;68,09
2004-05-04;20;68,06
2004-05-04;21;69,34
2004-05-04;22;67,36
2004-05-04;23;41,15
2004-05-04;24;43,16
2004-05-05;1;30,31
2004-05-05;2;30,66
2004-05-05;3;27,55
2004-05-05;4;27,74
2004-05-05;5;27,07
2004-05-05;6;28,03
2004-05-05;7;28,88
2004-05-05;8;62,68
2004-05-05;9;63,76
2004-05-05;10;68,22
2004-05-05;11;68,27
2004-05-05;12;68,13
2004-05-05;13;68,07
2004-05-05;14;67,70
2004-05-05;15;67,78
2004-05-05;16;67,46
2004-05-05;17;67,70
2004-05-05;18;67,70
2004-05-05;19;67,65
2004-05-05;20;67,45
2004-05-05;21;67,47
2004-05-05;22;67,66
2004-05-05;23;55,42
2004-05-05;24;55,54
2004-05-06;1;27,94
2004-05-06;2;27,48
2004-05-06;3;26,12
2004-05-06;4;25,35
2004-05-06;5;25,04
2004-05-06;6;25,26
2004-05-06;7;25,33
2004-05-06;8;61,78
2004-05-06;9;61,40
2004-05-06;10;67,53
2004-05-06;11;66,36
