PUN_n,df24
0.4274117647058823,0.2531764705882353
0.42105882352941176,0.2437647058823529
0.41823529411764704,0.22423529411764703
0.42282352941176465,0.24858823529411764
0.4515294117647059,0.2903529411764706
0.4931176470588235,0.3528235294117647
0.5672352941176471,0.35794117647058826
0.5882352941176471,0.3617058823529412
0.5785882352941176,0.3578235294117647
0.5112941176470588,0.3365294117647059
0.47241176470588236,0.31123529411764705
0.46058823529411763,0.3046470588235294
0.4864117647058823,0.3215882352941177
0.49276470588235294,0.3351176470588235
0.5111176470588236,0.35964705882352943
0.5882352941176471,0.40235294117647064
0.5698823529411764,0.3915882352941176
0.5167058823529412,0.37188235294117644
0.48552941176470593,0.34941176470588237
0.4671764705882353,0.3401176470588235
0.43082352941176466,0.3357647058823529
0.39488235294117646,0.3131176470588235
0.38829411764705885,0.29917647058823527
0.35252941176470587,0.2828235294117647
0.32011764705882356,0.27476470588235297
0.301,0.2588235294117647
0.28852941176470587,0.2535882352941176
0.3458823529411765,0.25994117647058823
0.44723529411764706,0.2828823529411765
0.49882352941176467,0.31070588235294117
0.5236470588235294,0.303
0.5521176470588235,0.30470588235294116
0.536,0.3090588235294118
0.5539411764705883,0.3
0.49388235294117644,0.30623529411764705
0.5025882352941177,0.28370588235294114
0.48935294117647055,0.31070588235294117
0.49411764705882355,0.3131176470588235
0.493235294117647,0.33888235294117647
0.5481176470588236,0.37941176470588234
0.5515294117647059,0.4078823529411765
0.5104117647058823,0.4126470588235294
0.4765882352941176,0.406764705882353
0.43576470588235294,0.3911176470588235
0.4274117647058823,0.3488823529411765
0.4078823529411765,0.3437058823529412
0.36694117647058827,0.29723529411764704
0.33188235294117646,0.2802352941176471
0.31123529411764705,0.2772352941176471
0.2934705882352941,0.2803529411764706
0.2730588235294118,0.26788235294117646
0.28500000000000003,0.27652941176470586
0.3185882352941176,0.28794117647058826
0.34452941176470586,0.3241176470588235
0.3918823529411765,0.3383529411764706
0.4022941176470588,0.3588235294117647
0.385,0.34705882352941175
0.3719411764705882,0.34817647058823525
0.3658823529411765,0.30123529411764705
0.3403529411764706,0.31629411764705884
0.33441176470588235,0.3070588235294118
0.34288235294117647,0.31270588235294117
0.3557647058823529,0.34252941176470586
0.42876470588235294,0.4014117647058823
0.5057058823529411,0.4434705882352941
0.48564705882352943,0.461235294117647
0.45376470588235296,0.40058823529411763
0.3981176470588236,0.3487647058823529
0.4077647058823529,0.3478235294117647
0.38482352941176473,0.34099999999999997
0.3631176470588235,0.3150588235294118
0.32235294117647056,0.3048235294117647
0.31176470588235294,0.3014705882352941
0.30347058823529416,0.2939411764705882
0.29411764705882354,0.2822941176470588
0.29411764705882354,0.2823529411764706
0.3,0.2922941176470588
0.307,0.2948823529411765
0.32447058823529407,0.3029411764705882
0.3674705882352941,0.3176470588235294
0.37835294117647056,0.3235294117647059
0.3841764705882353,0.32423529411764707
0.40341176470588236,0.32088235294117645
0.36694117647058827,0.3241764705882353
0.3401764705882353,0.3176470588235294
